Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Season,Rk_against,Comp_against,# Pl_against,Age_against,Poss_against,MP_against,Starts_against,Min_against,90s_against,Gls_against,Ast_against,G+A_against,G-PK_against,PK_against,PKatt_against,CrdY_against,CrdR_against,xG_against,npxG_against,xAG_against,npxG+xAG_against,PrgC_against,PrgP_against,Gls.1_against,Ast.1_against,G+A.1_against,G-PK.1_against,G+A-PK_against,xG.1_against,xAG.1_against,xG+xAG_against,npxG.1_against,npxG+xAG.1_against,Season_against,Squad_Season,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Sh_against,SoT_against,SoT%_against,Sh/90_against,SoT/90_against,G/Sh_against,G/SoT_against,Dist_against,FK_against,npxG/Sh_against,G-xG_against,np:G-xG_against,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Cmp_against,Att_against,Cmp%_against,TotDist_against,PrgDist_against,Cmp.1_against,Att.1_against,Cmp%.1_against,Cmp.2_against,Att.2_against,Cmp%.2_against,Cmp.3_against,Att.3_against,Cmp%.3_against,xA_against,A-xAG_against,KP_against,1/3_against,PPA_against,CrsPA_against,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,Live_against,Dead_against,TB_against,Sw_against,Crs_against,TI_against,CK_against,In_against,Out_against,Str_against,Off_against,Blocks_against,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,SCA_against,SCA90_against,PassLive_against,PassDead_against,TO_against,Fld_against,Def_against,GCA_against,GCA90_against,PassLive.1_against,PassDead.1_against,TO.1_against,Sh.1_against,Fld.1_against,Def.1_against,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Tkl_against,TklW_against,Def 3rd_against,Mid 3rd_against,Att 3rd_against,Tkl.1_against,Tkl%_against,Lost_against,Pass_against,Int_against,Tkl+Int_against,Clr_against,Err_against,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,PrgR,Touches_against,Def Pen_against,Att Pen_against,Succ_against,Succ%_against,Tkld_against,Tkld%_against,Carries_against,CPA_against,Mis_against,Dis_against,Rec_against,PrgR_against,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Mn/MP_against,Min%_against,Mn/Start_against,Compl_against,Subs_against,Mn/Sub_against,unSub_against,PPM_against,onG_against,onGA_against,+/-_against,+/-90_against,onxG_against,onxGA_against,xG+/-_against,xG+/-90_against,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%,2CrdY_against,Fls_against,PKwon_against,PKcon_against,OG_against,Recov_against,Won_against,Won%_against
1,Alavés,es La Liga,17,27.1,44.5,2,22,180,2.0,4,4,8,4,0,0,3,0,2.1,2.1,1.8,3.9,25,67,2.0,2.0,4.0,2.0,4.0,1.05,0.92,1.97,1.05,1.97,2024,1,es La Liga,17,30.0,55.5,2,22,180,2.0,3,2,5,3,0,0,5,1,1.3,1.3,0.7,2.0,28,61,1.5,1.0,2.5,1.5,2.5,0.65,0.36,1.01,0.65,1.01,2024,Alavés_2024,24,9,37.5,12.0,4.5,0.17,0.44,18.6,1,0.09,1.9,1.9,24,5,20.8,12.0,2.5,0.13,0.6,20.9,3,0.05,1.7,1.7,496,730,67.9,9549,4120,213,272,78.3,187,262,71.4,80,152,52.6,1.4,2.2,20,46,15,7,726,955,76.0,13156,4598,304,358,84.9,329,402,81.8,73,152,48.0,1.4,1.3,16,51,6,1,619,109,1,10,44,44,8,1,1,0,2,12,845,107,2,10,40,51,6,2,3,0,3,9,43,21.5,33,2,3,3,0,8,4.0,7,0,1,0,0,0,43,21.5,22,8,5,5,0,6,3.0,2,1,2,0,1,0,26,15,14,11,1,8,28.6,20,7,13,39,41,0,27,18,9,14,4,10,47.6,11,8,13,40,41,0,921,92,32,11,50.0,10,45.5,395,4,29,17,491,67,1149,100,28,20,69.0,8,27.6,644,5,36,18,723,61,90,100,82,12,10,18,13,1.5,4,4,0,0.0,2.1,1.3,0.8,0.4,90,100,82,12,10,18,14,1.5,4,4,0,0.0,1.3,2.1,-0.8,-0.4,0,29,0,0,1,102,42,53.2,0,32,0,0,0,97,37,46.8
2,Almería,es La Liga,20,25.9,51.5,2,22,180,2.0,1,1,2,1,0,0,2,0,2.7,2.7,2.4,5.1,42,73,0.5,0.5,1.0,0.5,1.0,1.35,1.22,2.57,1.35,2.57,2024,2,es La Liga,20,28.6,48.5,2,22,180,2.0,5,2,7,3,2,2,3,0,4.1,2.5,2.0,4.6,42,73,2.5,1.0,3.5,1.5,2.5,2.06,1.01,3.07,1.27,2.28,2024,Almería_2024,39,13,33.3,19.5,6.5,0.03,0.08,18.5,0,0.07,-1.7,-1.7,33,11,33.3,16.5,5.5,0.09,0.27,18.2,2,0.08,0.9,0.5,842,1003,83.9,15373,5423,377,416,90.6,347,399,87.0,97,148,65.5,2.0,-1.4,33,55,21,10,816,976,83.6,13165,4649,452,490,92.2,261,302,86.4,75,131,57.3,2.1,0.0,27,76,20,5,895,106,2,12,52,29,12,2,7,0,2,9,884,87,1,13,34,33,8,1,6,0,5,12,69,34.5,50,5,7,1,1,2,1.0,2,0,0,0,0,0,63,31.5,49,4,2,4,1,8,4.0,5,1,0,1,1,0,34,20,20,9,5,19,54.3,16,12,15,49,34,1,33,18,21,8,4,24,53.3,21,6,20,53,48,0,1237,140,47,21,42.0,24,48.0,787,7,25,9,831,70,1194,130,58,16,43.2,19,51.4,766,15,19,15,814,73,90,100,82,12,10,18,14,0.0,1,5,-4,-2.0,2.7,4.1,-1.4,-0.71,90,100,82,12,10,18,10,3.0,5,1,4,2.0,4.1,2.7,1.4,0.71,0,26,0,2,0,84,21,44.7,0,38,1,0,0,78,26,55.3
3,Arsenal,eng Premier League,17,24.7,65.5,2,22,180,2.0,3,2,5,2,1,1,5,1,2.8,2.0,1.5,3.6,55,98,1.5,1.0,2.5,1.0,2.0,1.42,0.76,2.18,1.02,1.78,2024,3,eng Premier League,17,27.0,34.5,2,22,180,2.0,1,1,2,1,0,0,4,0,2.2,2.2,1.9,4.1,28,60,0.5,0.5,1.0,0.5,1.0,1.09,0.94,2.03,1.09,2.03,2024,Arsenal_2024,28,9,32.1,14.0,4.5,0.07,0.22,17.8,0,0.07,0.2,0.0,20,4,20.0,10.0,2.0,0.05,0.25,16.7,1,0.11,-1.2,-1.2,1152,1334,86.4,18848,5366,589,637,92.5,470,521,90.2,73,126,57.9,1.6,0.5,21,107,26,3,546,699,78.1,10344,3991,242,276,87.7,231,270,85.6,64,120,53.3,1.7,-0.9,15,55,12,1,1243,87,8,4,35,28,16,16,0,0,4,12,627,71,3,4,27,26,4,3,1,0,1,12,56,28.0,45,4,3,2,0,6,3.0,3,1,1,0,1,0,35,17.5,23,2,2,3,2,2,1.0,2,0,0,0,0,0,33,22,13,16,4,17,50.0,17,11,15,48,27,0,31,20,20,7,4,14,58.3,10,8,13,44,37,0,1529,104,61,10,31.3,14,43.8,1101,14,18,17,1144,98,910,124,40,17,40.5,17,40.5,476,9,25,16,539,59,90,100,84,14,7,14,11,3.0,3,1,2,1.0,2.8,2.2,0.7,0.33,90,100,84,14,7,14,10,0.0,1,3,-2,-1.0,2.2,2.8,-0.7,-0.33,1,22,1,0,0,92,25,42.4,0,26,0,1,0,77,34,57.6
4,Aston Villa,eng Premier League,18,27.0,54.0,2,22,180,2.0,5,2,7,4,1,1,7,0,4.7,4.0,2.4,6.4,45,77,2.5,1.0,3.5,2.0,3.0,2.34,1.2,3.53,1.98,3.18,2024,4,eng Premier League,18,27.8,46.0,2,22,180,2.0,5,4,9,5,0,0,8,0,4.0,4.0,3.8,7.7,31,56,2.5,2.0,4.5,2.5,4.5,1.98,1.88,3.86,1.98,3.86,2024,Aston Villa_2024,28,12,42.9,14.0,6.0,0.14,0.33,16.2,1,0.15,0.3,0.0,26,14,53.8,13.0,7.0,0.19,0.36,13.7,0,0.16,1.0,1.0,939,1090,86.1,15333,5201,436,484,90.1,419,453,92.5,55,94,58.5,2.4,-0.4,23,57,18,2,763,935,81.6,13274,4626,355,386,92.0,329,375,87.7,65,135,48.1,2.6,0.2,21,52,12,2,994,95,9,7,28,38,12,2,3,0,1,19,843,89,6,7,29,30,12,5,5,0,3,13,53,26.5,36,6,3,3,1,7,3.5,4,0,1,1,1,0,45,22.5,32,5,3,1,0,10,5.0,8,0,2,0,0,0,22,15,12,7,3,7,30.4,16,12,9,31,32,1,30,19,17,10,3,13,35.1,24,15,13,43,25,2,1286,141,39,24,50.0,13,27.1,837,5,32,17,930,77,1125,108,51,16,55.2,7,24.1,745,11,30,15,757,55,90,100,79,13,10,24,8,1.5,5,5,0,0.0,4.7,4.0,0.7,0.35,90,100,79,13,10,24,9,1.5,5,5,0,0.0,4.0,4.7,-0.7,-0.35,0,25,1,0,0,92,15,53.6,0,24,0,1,0,99,13,46.4
5,Atalanta,it Serie A,16,27.0,51.0,1,11,90,1.0,2,2,4,2,0,0,0,0,1.3,1.3,0.9,2.2,24,52,2.0,2.0,4.0,2.0,4.0,1.32,0.93,2.24,1.32,2.24,2024,5,it Serie A,16,26.4,49.0,1,11,90,1.0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.9,18,31,0.0,0.0,0.0,0.0,0.0,0.44,0.42,0.86,0.44,0.86,2024,Atalanta_2024,16,4,25.0,16.0,4.0,0.13,0.5,17.1,0,0.08,0.7,0.7,11,3,27.3,11.0,3.0,0.0,0.0,23.0,0,0.04,-0.4,-0.4,446,536,83.2,8028,2504,190,209,90.9,198,220,90.0,49,82,59.8,1.0,1.1,9,34,11,2,445,522,85.2,7478,2841,204,213,95.8,178,203,87.7,42,69,60.9,0.5,-0.4,10,34,5,1,498,36,1,7,29,17,7,1,5,0,2,11,469,53,1,3,14,12,7,5,1,0,0,12,28,28.0,24,2,2,0,0,4,4.0,3,1,0,0,0,0,21,21.0,17,2,1,0,0,0,0.0,0,0,0,0,0,0,13,7,8,3,2,8,36.4,14,9,9,22,12,0,10,6,5,5,0,2,13.3,13,8,12,22,20,0,623,52,28,13,86.7,2,13.3,344,7,10,8,438,50,621,98,14,14,63.6,8,36.4,389,5,12,5,436,31,90,100,77,6,5,28,6,3.0,2,0,2,2.0,1.3,0.4,0.9,0.88,90,100,77,6,5,28,6,0.0,0,2,-2,-2.0,0.4,1.3,-0.9,-0.88,0,13,0,0,0,49,8,47.1,0,9,0,0,0,40,9,52.9
6,Athletic Club,es La Liga,18,27.2,41.5,2,22,180,2.0,2,2,4,2,0,0,8,1,2.0,2.0,1.7,3.7,27,64,1.0,1.0,2.0,1.0,2.0,0.98,0.86,1.84,0.98,1.84,2024,6,es La Liga,18,27.3,58.5,2,22,180,2.0,2,2,4,2,0,0,2,1,2.3,2.3,1.8,4.0,45,109,1.0,1.0,2.0,1.0,2.0,1.13,0.89,2.01,1.13,2.01,2024,Athletic Club_2024,15,3,20.0,7.5,1.5,0.13,0.67,15.7,1,0.13,0.0,0.0,32,15,46.9,16.0,7.5,0.06,0.13,17.0,4,0.07,-0.3,-0.3,702,913,76.9,11972,4464,339,376,90.2,285,335,85.1,62,152,40.8,1.9,0.3,11,60,12,3,1030,1247,82.6,18716,6416,462,504,91.7,433,492,88.0,116,199,58.3,2.5,0.2,21,93,23,6,825,86,0,7,43,36,10,3,5,0,2,18,1136,107,6,16,48,43,10,6,3,0,4,14,25,12.5,19,2,1,2,1,4,2.0,3,0,1,0,0,0,62,31.0,41,6,2,5,3,4,2.0,2,1,0,1,0,0,38,20,21,14,3,24,63.2,14,10,18,56,53,0,38,23,17,19,2,16,59.3,11,15,25,63,34,1,1153,148,22,11,37.9,16,55.2,666,8,32,22,700,64,1487,137,57,14,35.9,24,61.5,917,9,33,14,1019,108,90,100,75,11,10,31,14,1.5,2,2,0,0.0,2.0,2.3,-0.3,-0.15,90,100,75,11,10,31,14,1.5,2,2,0,0.0,2.3,2.0,0.3,0.15,1,32,0,0,0,112,24,45.3,0,15,0,0,0,111,29,54.7
7,Atlético Madrid,es La Liga,19,29.8,46.5,2,22,180,2.0,3,1,4,3,0,0,4,0,2.9,2.9,2.2,5.1,37,89,1.5,0.5,2.0,1.5,2.0,1.44,1.12,2.56,1.44,2.56,2024,7,es La Liga,19,28.1,53.5,2,22,180,2.0,1,1,2,1,0,0,3,0,1.7,1.7,1.4,3.1,32,57,0.5,0.5,1.0,0.5,1.0,0.84,0.72,1.56,0.84,1.56,2024,Atlético Madrid_2024,19,7,36.8,9.5,3.5,0.16,0.43,14.2,0,0.15,0.1,0.1,21,4,19.0,10.5,2.0,0.05,0.25,16.1,0,0.08,-0.7,-0.7,824,1005,82.0,13740,5003,429,483,88.8,294,335,87.8,80,131,61.1,2.9,-1.2,15,59,25,4,969,1159,83.6,17359,5620,431,468,92.1,397,450,88.2,113,176,64.2,1.5,-0.4,17,53,13,3,915,85,2,10,35,38,10,3,6,0,5,18,1065,91,0,10,29,37,5,3,1,0,3,21,35,17.5,25,5,1,2,0,6,3.0,4,0,1,1,0,0,37,18.5,29,2,0,0,2,2,1.0,1,0,0,0,0,1,36,17,13,19,4,12,50.0,12,17,24,60,29,1,32,17,14,11,7,13,44.8,16,17,13,45,33,1,1218,98,59,16,55.2,13,44.8,752,12,28,19,813,86,1352,149,31,12,42.9,12,42.9,836,6,29,24,968,57,90,100,76,12,10,31,13,2.0,3,1,2,1.0,2.9,1.7,1.2,0.59,90,100,76,12,10,31,12,0.5,1,3,-2,-1.0,1.7,2.9,-1.2,-0.59,0,23,0,0,0,115,27,62.8,0,19,0,0,0,104,16,37.2
8,Augsburg,de Bundesliga,15,25.4,56.0,1,11,90,1.0,4,3,7,3,1,1,1,0,2.3,1.5,1.4,2.9,17,44,4.0,3.0,7.0,3.0,6.0,2.28,1.41,3.68,1.49,2.9,2024,8,de Bundesliga,15,25.4,44.0,1,11,90,1.0,4,3,7,3,1,1,2,0,1.7,0.9,0.9,1.9,19,23,4.0,3.0,7.0,3.0,6.0,1.72,0.93,2.65,0.93,1.86,2024,Augsburg_2024,19,6,31.6,19.0,6.0,0.16,0.5,19.1,1,0.08,1.7,1.5,9,4,44.4,9.0,4.0,0.33,0.75,17.0,0,0.1,2.3,2.1,423,524,80.7,7014,2777,205,220,93.2,173,207,83.6,29,57,50.9,1.9,1.6,17,30,12,3,305,406,75.1,5666,2153,143,167,85.6,124,150,82.7,36,79,45.6,0.6,2.1,9,25,7,3,473,47,2,2,23,16,8,6,1,0,4,12,360,45,1,1,19,12,7,4,3,0,1,5,36,36.0,32,1,1,2,0,7,7.0,6,0,0,0,1,0,18,18.0,12,2,2,1,0,7,7.0,5,1,0,0,1,0,13,6,6,5,2,6,46.2,7,4,12,25,11,0,10,6,3,6,1,5,71.4,2,12,7,17,19,0,620,61,26,2,28.6,5,71.4,433,2,16,5,417,43,506,72,21,7,43.8,6,37.5,304,9,13,7,304,23,90,100,83,7,4,19,5,1.0,4,4,0,0.0,2.3,1.7,0.6,0.55,90,100,83,7,4,19,4,1.0,4,4,0,0.0,1.7,2.3,-0.6,-0.55,0,9,1,1,0,58,22,59.5,0,13,1,1,0,46,15,40.5
9,Barcelona,es La Liga,18,26.4,74.0,2,22,180,2.0,2,2,4,2,0,0,6,1,4.9,4.9,3.8,8.7,74,108,1.0,1.0,2.0,1.0,2.0,2.43,1.89,4.33,2.43,4.33,2024,9,es La Liga,18,29.5,26.0,2,22,180,2.0,0,0,0,0,0,0,11,1,1.7,1.7,1.0,2.7,12,35,0.0,0.0,0.0,0.0,0.0,0.85,0.52,1.37,0.85,1.37,2024,Barcelona_2024,38,13,34.2,19.0,6.5,0.05,0.15,17.1,3,0.13,-2.9,-2.9,15,3,20.0,7.5,1.5,0.0,0.0,13.2,0,0.11,-1.7,-1.7,1265,1426,88.7,19245,6021,681,729,93.4,480,527,91.1,62,106,58.5,3.6,-1.8,28,105,24,7,337,500,67.4,7189,3505,118,142,83.1,126,158,79.7,69,149,46.3,1.6,-1.0,12,29,12,7,1317,106,10,7,46,31,14,6,4,0,3,6,410,85,1,8,32,27,5,1,2,0,5,10,70,35.0,53,2,5,4,1,4,2.0,4,0,0,0,0,0,25,12.5,16,4,1,0,1,0,0.0,0,0,0,0,0,0,20,15,8,10,2,8,61.5,5,8,8,28,27,1,22,12,13,6,3,10,29.4,24,6,23,45,47,0,1604,90,62,24,60.0,10,25.0,1104,16,31,12,1249,107,689,149,29,5,35.7,8,57.1,276,3,21,12,332,34,90,100,81,12,9,18,10,2.0,2,0,2,1.0,4.9,1.7,3.2,1.58,90,100,81,12,9,18,11,0.5,0,2,-2,-1.0,1.7,4.9,-3.2,-1.58,0,20,0,0,0,93,35,53.8,1,42,0,0,0,64,30,46.2
10,Bayern Munich,de Bundesliga,16,27.0,72.0,1,11,90,1.0,4,4,8,4,0,0,1,0,2.8,2.8,2.7,5.6,46,52,4.0,4.0,8.0,4.0,8.0,2.84,2.75,5.59,2.84,5.59,2024,10,de Bundesliga,16,28.2,28.0,1,11,90,1.0,0,0,0,0,0,0,2,0,0.6,0.6,0.4,0.9,7,25,0.0,0.0,0.0,0.0,0.0,0.55,0.37,0.92,0.55,0.92,2024,Bayern Munich_2024,25,10,40.0,25.0,10.0,0.16,0.4,19.1,1,0.11,1.2,1.2,6,1,16.7,6.0,1.0,0.0,0.0,20.7,1,0.09,-0.6,-0.6,629,707,89.0,10584,3649,294,313,93.9,276,299,92.3,46,64,71.9,2.3,1.3,23,48,11,1,191,275,69.5,3971,1925,74,91,81.3,82,108,75.9,33,61,54.1,0.4,-0.4,3,15,3,0,655,52,2,2,18,21,6,2,4,0,0,12,235,37,0,5,12,10,0,0,0,0,3,6,48,48.0,35,5,3,3,0,8,8.0,8,0,0,0,0,0,11,11.0,8,0,1,1,1,0,0.0,0,0,0,0,0,0,3,2,1,2,0,2,40.0,3,7,6,9,9,0,29,17,14,13,2,18,47.4,20,12,3,32,16,0,811,60,42,20,48.8,18,43.9,621,19,11,11,622,51,383,74,6,3,50.0,2,33.3,194,1,10,1,190,25,90,100,85,6,5,11,4,3.0,4,0,4,4.0,2.8,0.6,2.3,2.29,90,100,85,6,5,11,4,0.0,0,4,-4,-4.0,0.6,2.8,-2.3,-2.29,0,11,0,0,0,61,17,53.1,0,17,0,0,0,44,15,46.9
