player,position,team,age,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,season,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,gameweek
Nathan Ake,DF,Manchester City,28.0,1,78,0.9,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,1,0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.36,0.36,0.36,2023.0,1,0,0.0,1.15,0.0,0.0,0.0,4.8,0,0.31,-0.3,-0.3,65,69,94.2,1085,222,29,30,96.7,29,31,93.5,5,6,83.3,0.0,0.0,0,3,0,0,68,1,0,0,0,0,1,0,0,0,0,0,0,2,2.31,1,0,0,1,0,0,1,1.15,0,0,0,1,0,0,3,3,3,0,0,3,3,100.0,0,0,0,0,2,5,1,0,79,2,36,39,5,2,79,0,0,0.0,0,0.0,53,233,93,0,0,0,0,61,78,86.7,78.0,0,0,0.0,0,3.0,3,0,3,3.46,3.46,1.8,0.3,1.5,1.78,1.21,0,0,1,0,0,0,0,5,3,1,75.0,1
Trent Alexander-Arnold,DF,Liverpool,24.0,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,26,47,55.3,494,209,7,9,77.8,13,21,61.9,3,12,25.0,0.0,0.0,0,4,1,1,38,8,2,1,1,3,5,1,0,1,0,1,1,1,1.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,1,2,0,0,0,1,0.0,1,0,0,0,0,2,6,0,57,7,27,13,17,0,57,1,0,0.0,1,100.0,21,56,17,2,0,1,0,26,90,100.0,90.0,1,0,0.0,0,1.0,1,1,0,0.0,0.0,1.3,1.4,-0.1,-0.09,0.0,0,0,1,0,0,0,0,8,0,0,0.0,1
Alisson,GK,Liverpool,30.0,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,19,25,76.0,422,237,3,3,100.0,13,13,100.0,3,9,33.3,0.0,0.0,0,0,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,27,23,27,0,0,0,27,0,0,0.0,0,0.0,20,114,82,0,0,0,0,13,90,100.0,90.0,1,0,0.0,0,1.0,1,1,0,0.0,0.0,1.3,1.4,-0.1,-0.09,0.0,0,0,0,0,0,0,0,0,0,0,0.0,1
Miguel Almiron,FW,Newcastle Utd,29.0,1,85,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,4,2,6,0.0,0.0,0.0,0.0,0.0,0.06,0.3,0.35,0.06,0.35,2023.0,1,1,100.0,1.06,1.06,0.0,0.0,21.5,0,0.05,-0.1,-0.1,31,32,96.9,440,93,22,23,95.7,8,8,100.0,1,1,100.0,0.1,-0.3,2,3,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,4,4.24,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2,2,1,0,1,2,3,66.7,1,1,0,1,1,3,0,0,39,0,8,15,16,3,39,2,0,0.0,1,50.0,34,200,105,0,1,1,1,30,85,94.4,85.0,0,0,0.0,0,3.0,4,1,3,3.18,-14.82,2.8,1.5,1.3,1.41,-3.17,0,0,1,0,0,0,0,4,0,1,0.0,1
Julian Alvarez,"MF,FW",Manchester City,23.0,1,90,1.0,0,1,1,0,0,0,0,0,0.3,0.3,0.3,0.7,2,2,6,0.0,1.0,1.0,0.0,1.0,0.35,0.31,0.66,0.35,0.66,2023.0,3,1,33.3,3.0,1.0,0.0,0.0,13.8,0,0.12,-0.3,-0.3,36,44,81.8,490,113,22,25,88.0,7,9,77.8,3,5,60.0,0.4,0.7,6,0,2,0,38,6,3,2,0,5,1,2,0,2,0,0,0,6,6.0,3,3,0,0,0,0,1,1.0,1,0,0,0,0,0,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,53,0,2,22,29,4,53,0,0,0.0,0,0.0,25,104,50,2,1,2,1,40,90,100.0,90.0,1,0,0.0,0,3.0,3,0,3,3.0,0.0,1.9,0.3,1.6,1.62,0.0,0,1,1,0,0,0,0,2,1,3,25.0,1
Zeki Amdouni,FW,Burnley,22.0,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,2023.0,1,1,100.0,1.5,1.5,0.0,0.0,14.9,0,0.03,0.0,0.0,10,11,90.9,142,48,6,7,85.7,1,1,100.0,2,2,100.0,0.0,0.0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,1,0,23,1,3,9,11,3,23,4,2,50.0,2,50.0,11,63,17,0,1,3,1,15,60,66.7,60.0,0,0,0.0,0,0.0,0,2,-2,-3.0,0.0,0.3,1.0,-0.7,-1.05,1.72,0,0,2,0,0,0,0,4,1,2,33.3,1
Joachim Andersen,DF,Crystal Palace,27.0,1,90,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,4,10,0,0.0,0.0,0.0,0.0,0.0,0.15,0.09,0.24,0.15,0.24,2023.0,2,2,100.0,2.0,2.0,0.0,0.0,20.9,0,0.08,-0.2,-0.2,78,86,90.7,1942,830,15,18,83.3,48,50,96.0,15,16,93.8,0.1,-0.1,2,8,1,0,85,0,0,1,2,1,0,0,0,0,0,1,1,5,5.0,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,1,2,0,1,2,2,100.0,0,1,1,0,0,3,6,0,99,8,41,52,7,2,99,2,2,100.0,0,0.0,69,517,390,1,0,0,0,68,90,100.0,90.0,1,0,0.0,0,3.0,1,0,1,1.0,0.0,1.9,0.5,1.4,1.37,0.0,0,2,1,0,0,0,0,6,4,1,80.0,1
Elliot Anderson,MF,Newcastle Utd,20.0,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,2,50.0,8,0,1,1,100.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,3,0,2,1,0,0,3,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,1,1.1,0.0,0,1,1.0,0,3.0,0,0,0,0.0,-4.04,0.0,0.2,-0.2,-18.37,-20.18,0,0,0,0,0,0,0,0,0,0,0.0,1
Jaidon Anthony,FW,Bournemouth,23.0,1,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8,13,61.5,119,22,3,5,60.0,4,5,80.0,0,1,0.0,0.0,0.0,0,0,0,0,12,1,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,0,0,2,1,3,33.3,2,2,0,2,1,3,2,0,24,1,3,10,11,1,24,1,1,100.0,0,0.0,13,37,7,0,0,2,1,14,59,65.6,59.0,0,0,0.0,0,1.0,0,1,-1,-1.53,-4.43,0.2,0.8,-0.6,-0.95,-3.51,0,2,0,0,0,0,0,2,1,3,25.0,1
Michail Antonio,FW,West Ham,33.0,1,77,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,14,50.0,149,67,2,4,50.0,3,4,75.0,1,2,50.0,0.0,0.0,0,1,0,0,13,1,1,0,1,1,0,0,0,0,0,0,2,3,3.51,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,1,2,50.0,1,1,1,0,0,1,1,0,29,2,8,10,11,1,29,5,3,60.0,1,20.0,17,94,35,1,0,6,3,21,77,85.6,77.0,0,0,0.0,0,1.0,1,0,1,1.17,8.09,0.9,0.4,0.5,0.53,5.44,0,1,2,0,0,0,0,3,4,3,57.1,1
Antony,MF,Manchester Utd,23.0,1,76,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,7,2,10,0.0,0.0,0.0,0.0,0.0,0.22,0.31,0.53,0.22,0.53,2023.0,3,0,0.0,3.55,0.0,0.0,0.0,13.9,0,0.06,-0.2,-0.2,24,32,75.0,254,71,18,23,78.3,4,4,100.0,0,1,0.0,0.0,-0.3,3,1,2,0,31,1,1,0,0,3,0,0,0,0,0,0,2,4,4.74,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,3,0,3,0,0,0,0,38,0,4,9,25,5,38,2,2,100.0,0,0.0,24,194,160,4,2,0,1,27,76,84.4,76.0,0,0,0.0,0,3.0,1,0,1,1.18,1.18,1.7,1.5,0.2,0.23,1.59,0,1,2,0,0,0,0,8,0,1,0.0,1
Alphonse Areola,GK,West Ham,30.0,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,9,24,37.5,396,349,1,1,100.0,2,2,100.0,6,21,28.6,0.0,0.0,0,0,0,0,14,10,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,27,22,27,0,0,0,27,0,0,0.0,0,0.0,9,159,23,1,0,0,0,5,90,100.0,90.0,1,0,0.0,0,1.0,1,1,0,0.0,0.0,1.1,1.3,-0.3,-0.26,0.0,0,0,0,0,0,0,0,0,0,0,0.0,1
Serge Aurier,MF,Nott'ham Forest,30.0,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,6,12,50.0,100,47,2,2,100.0,4,7,57.1,0,2,0.0,0.0,0.0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,2,2,0,0,1,2,50.0,1,0,0,0,1,3,1,0,20,2,9,6,6,2,20,1,0,0.0,1,100.0,11,46,22,0,1,2,1,14,90,100.0,90.0,1,0,0.0,0,0.0,1,2,-1,-1.0,0.0,1.2,0.8,0.4,0.35,0.0,0,0,2,0,0,0,0,3,2,2,50.0,1
Taiwo Awoniyi,FW,Nott'ham Forest,26.0,0,20,0.2,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.6,0,0,2,4.5,0.0,4.5,4.5,4.5,2.72,0.0,2.72,2.72,2.72,2023.0,1,1,100.0,4.5,4.5,1.0,1.0,5.8,0,0.57,0.4,0.4,3,5,60.0,40,19,2,3,66.7,1,1,100.0,0,0,0.0,0.0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,4.74,1,0,0,0,0,0,1,4.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,10,1,1,6,3,2,10,0,0,0.0,0,0.0,5,32,12,0,0,1,1,6,20,22.2,0.0,0,1,20.0,0,0.0,1,0,1,4.5,7.07,0.9,0.5,0.4,2.02,2.12,0,0,0,0,0,0,0,1,1,1,50.0,1
Jordan Ayew,FW,Crystal Palace,31.0,1,90,1.0,0,1,1,0,0,0,0,0,0.1,0.1,0.7,0.8,4,1,9,0.0,1.0,1.0,0.0,1.0,0.09,0.71,0.8,0.09,0.8,2023.0,2,1,50.0,2.0,1.0,0.0,0.0,15.2,0,0.05,-0.1,-0.1,34,46,73.9,448,51,21,24,87.5,9,13,69.2,1,3,33.3,0.5,0.3,2,0,1,1,46,0,0,0,0,5,0,0,0,0,0,0,3,4,4.0,2,0,0,1,1,0,1,1.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0,4,0,4,1,2,0,0,61,1,4,25,32,6,61,4,1,25.0,1,25.0,38,222,106,5,1,2,8,44,90,100.0,90.0,1,0,0.0,0,3.0,1,0,1,1.0,0.0,1.9,0.5,1.4,1.37,0.0,0,2,2,1,0,0,0,4,1,0,100.0,1
Leon Bailey,FW,Aston Villa,26.0,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5,17,29.4,85,34,1,5,20.0,2,6,33.3,1,2,50.0,0.0,0.0,0,1,0,0,17,0,0,1,0,3,0,0,0,0,0,0,1,1,2.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,1,1,1,0,0,24,1,6,10,8,0,24,1,0,0.0,0,0.0,14,174,41,3,0,0,4,17,45,50.0,45.0,0,0,0.0,0,0.0,1,2,-1,-2.0,4.0,0.6,1.3,-0.7,-1.43,0.31,0,0,1,0,0,0,0,2,1,0,100.0,1
